len	idea	target	title
5	Data Structures	Density Estimation	Data Structures for Density Estimation
7	Multicut	Clustering Fully connected Graphs	ClusterFuG: Clustering Fully connected Graphs by Multicut
9			Generalization on the Unseen, Logic Reasoning and Degree Curriculum
4			Toward Large Kernel Models
9			Expertise Trees Resolve Knowledge Limitations in Collective Decision-Making
11	Comparison of meta-learners	estimating multi-valued treatment heterogeneous effects	Comparison of meta-learners for estimating multi-valued treatment heterogeneous effects
11	Dynamic Programming	Robustness Certification of Bayesian Neural Networks	BNN-DP: Robustness Certification of Bayesian Neural Networks via Dynamic Programming
11			SAM operates far from home: eigenvalue regularization as a dynamical phenomenon
12			Second-order regression models exhibit progressive sharpening to the edge of stability
11			Global optimality of Elman-type RNNs in the mean-field regime
11	Semantic Supervision	Zero and Few-shot Extreme Classification	SemSup-XC: Semantic Supervision for Zero and Few-shot Extreme Classification
9	Adaptive IMLE	Few-shot Pretraining-free Generative Modelling	Adaptive IMLE for Few-shot Pretraining-free Generative Modelling
8	Scaling Laws	Generative Mixed-Modal Language Models	Scaling Laws for Generative Mixed-Modal Language Models
12	Generalization Bounds through Algorithmic Stability	Hypothesis Transfer Learning	Hypothesis Transfer Learning with Surrogate Classification Losses: Generalization Bounds through Algorithmic Stability
4			Constrained Causal Bayesian Optimization
14			Explaining the effects of non-convergent MCMC in the training of Energy-Based Models
13			Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies
4			Interventional Causal Representation Learning
8	Sequential Underspecified Instrument Selection	Cause-Effect Estimation	Sequential Underspecified Instrument Selection for Cause-Effect Estimation
11			Atari-5: Distilling the Arcade Learning Environment down to Five Games
8	path attribution	Towards credible visual model interpretation	Towards credible visual model interpretation with path attribution
12	Dependent Data	Convergence of First-Order Methods for Constrained Nonconvex Optimization	Convergence of First-Order Methods for Constrained Nonconvex Optimization with Dependent Data
7	Holographic Reduced Representations	Recasting Self-Attention	Recasting Self-Attention with Holographic Reduced Representations
7			The Saddle-Point Method in Differential Privacy
12			Nonlinear Advantage: Trained Networks Might Not Be As Complex as You Think
15			A Simple Zero-shot Prompt Weighting Technique to Improve Prompt Ensembling in Text-Image Models
9			On the Privacy-Robustness-Utility Trilemma in Distributed Learning
8	MCMC	Differentially Private Distributed Bayesian Linear Regression	Differentially Private Distributed Bayesian Linear Regression with MCMC
7			Robust and Scalable Bayesian Online Changepoint Detection
9	Riesz Kernels	Neural Wasserstein Gradient Flows for Discrepancies	Neural Wasserstein Gradient Flows for Discrepancies with Riesz Kernels
9	Minimax Optimal Communication Cost	Distributed Contextual Linear Bandits	Distributed Contextual Linear Bandits with Minimax Optimal Communication Cost
7	A Kernelized Stein Discrepancy	Biological Sequences	A Kernelized Stein Discrepancy for Biological Sequences
11			The Optimal Approximation Factors in Misspecified Off-Policy Value Function Estimation
3			Meta Optimal Transport
9			Near-Optimal Φ-Regret Learning in Extensive-Form Games
10			A Modern Look at the Relationship between Sharpness and Generalization
8	Large Step Sizes Learns Sparse Features	SGD	SGD with Large Step Sizes Learns Sparse Features
11	Neural Continuous-Discrete State Space Models	Irregularly-Sampled Time Series	Neural Continuous-Discrete State Space Models for Irregularly-Sampled Time Series
4	Succinct Predictions	Paging	Paging with Succinct Predictions
6	Mixing Predictions	Online Metric Algorithms	Mixing Predictions for Online Metric Algorithms
6	Exponential Smoothing	Off-Policy Learning	Exponential Smoothing for Off-Policy Learning
10			Polynomial Time and Private Learning of Unbounded Gaussian Mixture Models
9			Principled Acceleration of Iterative Numerical Methods Using Machine Learning
11			Faster Rates of Convergence to Stationary Points in Differentially Private Optimization
9			Prototype-Sample Relation Distillation: Towards Replay-Free Continual Learning
11	Near-Optimal Algorithms	Private Online Optimization in the Realizable Regime	Near-Optimal Algorithms for Private Online Optimization in the Realizable Regime
6			From Robustness to Privacy and Back
17	Full Adaptivity with High Probability to Unknown Parameters, Unbounded Gradients and Affine Variance	SGD	SGD with AdaGrad Stepsizes: Full Adaptivity with High Probability to Unknown Parameters, Unbounded Gradients and Affine Variance
8			Adversarially Robust PAC Learnability of Real-Valued Functions
13	Infusing Lattice Symmetry Priors in Attention Mechanisms	Sample-Efficient Abstract Geometric Reasoning	Infusing Lattice Symmetry Priors in Attention Mechanisms for Sample-Efficient Abstract Geometric Reasoning
10			Learning to Initiate and Reason in Event-Driven Cascading Processes
17			On the convergence of the MLE as an estimator of the learning rate in the Exp3 algorithm
8	Dirichlet Diffusion Score Model	Biological Sequence Generation	Dirichlet Diffusion Score Model for Biological Sequence Generation
10	Gradient Descent Converges Linearly	Logistic Regression on Separable Data	Gradient Descent Converges Linearly for Logistic Regression on Separable Data
8			Naive imputation implicitly regularizes high-dimensional linear models
11	A graph upsampling approach	slowing down message passing	Half-Hop: A graph upsampling approach for slowing down message passing
8	Unsupervised Task Representation Learning	Curriculum Learning	CLUTR: Curriculum Learning via Unsupervised Task Representation Learning
4			Personalized Subgraph Federated Learning
13	Contextualized Target Representations for Vision, Speech and Language	Efficient Self-supervised Learning	Efficient Self-supervised Learning with Contextualized Target Representations for Vision, Speech and Language
11	Efficient preconditioned stochastic gradient descent	estimation in latent variable models	Efficient preconditioned stochastic gradient descent for estimation in latent variable models
