len	idea	target	title
4			Encoding Recurrence into Transformers.
8			Modeling content creator incentives on algorithm-curated platforms.
7	Meta-learned Bayesian Surrogates.	Transfer NAS	Transfer NAS with Meta-learned Bayesian Surrogates.
8	Latent Variable Distillation.	Scaling Up Probabilistic Circuits	Scaling Up Probabilistic Circuits by Latent Variable Distillation.
9			A Kernel Perspective of Skip Connections in Convolutional Networks.
8			WikiWhy: Answering and Explaining Cause-and-Effect Questions.
8			Git Re-Basin: Merging Models modulo Permutation Symmetries.
8			The Role of Coverage in Online Reinforcement Learning.
23			Is the Performance of My Deep Network Too Good to Be True? A Direct Approach to Estimating the Bayes Error in Binary Classification.
12			Offline Q-learning on Diverse Multi-Task Data Both Scales And Generalizes.
11	linear models.	What learning algorithm is in-context learning? Investigations	What learning algorithm is in-context learning? Investigations with linear models.
11			Towards Understanding Ensemble, Knowledge Distillation and Self-Distillation in Deep Learning.
17			When and Why Vision-Language Models Behave like Bags-Of-Words, and What to Do About It?
8	Confidence-Conditioned Value Functions	Offline Reinforcement Learning.	Confidence-Conditioned Value Functions for Offline Reinforcement Learning.
10			On the Sensitivity of Reward Inference to Misspecified Human Models.
15	New Outlooks and A Baseline	Temporal Multi-View 3D Object Detection.	Time Will Tell: New Outlooks and A Baseline for Temporal Multi-View 3D Object Detection.
12			Dichotomy of Control: Separating What You Can Control from What You Cannot.
10			Learning where and when to reason in neuro-symbolic inference.
11			On the duality between contrastive and non-contrastive self-supervised learning.
7	2D Diffusion.	Text-to-3D	DreamFusion: Text-to-3D using 2D Diffusion.
16	minimal data assumptions.	theory for diffusion models	Sampling is as easy as learning the score: theory for diffusion models with minimal data assumptions.
12	Visual Token Matching.	Universal Few-shot Learning of Dense Prediction Tasks	Universal Few-shot Learning of Dense Prediction Tasks with Visual Token Matching.
11			Mitigating Gradient Bias in Multi-objective Learning: A Provably Convergent Approach.
8			ReAct: Synergizing Reasoning and Acting in Language Models.
10			Do We Really Need Complicated Model Architectures For Temporal Networks?
10	Is Conditional Generative Modeling all you need	Decision Making?	Is Conditional Generative Modeling all you need for Decision Making?
7	The Lie Derivative	Measuring Learned Equivariance.	The Lie Derivative for Measuring Learned Equivariance.
9	Disagreement for Better Transferability.	Diversity	Agree to Disagree: Diversity through Disagreement for Better Transferability.
5			Efficient Conditionally Invariant Representation Learning.
17			Aligning Model and Macaque Inferior Temporal Cortex Representations Improves Model-to-Human Behavioral Alignment and Adversarial Robustness.
5			Transformers Learn Shortcuts to Automata.
7	Algorithm Distillation.	In-context Reinforcement Learning	In-context Reinforcement Learning with Algorithm Distillation.
10	Exploiting Large Language Models	Interpretable Logical Reasoning.	Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning.
9			Compressing multidimensional weather and climate data into neural networks.
9			Confidential-PROFITT: Confidential PROof of FaIr Training of Trees.
6	Near-optimal Coresets	Robust Clustering.	Near-optimal Coresets for Robust Clustering.
9	Lexicographic Preferences Over Multiple Objectives.	Targeted Hyperparameter Optimization	Targeted Hyperparameter Optimization with Lexicographic Preferences Over Multiple Objectives.
14	Human-Regularized Reinforcement Learning and Planning.	Mastering the Game of No-Press Diplomacy	Mastering the Game of No-Press Diplomacy via Human-Regularized Reinforcement Learning and Planning.
5	Control Variates.	Efficient Attention	Efficient Attention via Control Variates.
