len	idea	target	title
7	2D Supervision	Learning 3D Scene Priors	Learning 3D Scene Priors with 2D Supervision
14	360â—¦ Views	Lifting An In-the-wild 2D Photo to A 3D Object	Lifting An In-the-wild 2D Photo to A 3D Object with 360â—¦ Views
10	3D Agent Queries	End-to-end Visual Trajectory Prediction	End-to-end Visual Trajectory Prediction via 3D Agent Queries
9	3D Distillation of CLIP Knowledge	Local 3D Editing	Local 3D Editing via 3D Distillation of CLIP Knowledge
9	3D Hand Pose Estimation	Towards Egocentric Activity Understanding	Towards Egocentric Activity Understanding via 3D Hand Pose Estimation
12	3D Modeling	Physically Realizable Natural-Looking Clothing Textures Evade Person Detectors	Physically Realizable Natural-Looking Clothing Textures Evade Person Detectors via 3D Modeling
6	3D Queries	Continuous Landmark Detection	Continuous Landmark Detection with 3D Queries
11	3D Spatially-Varying Lighting Estimation	Multi-view Attention Inverse Rendering	Multi-view Attention Inverse Rendering with 3D Spatially-Varying Lighting Estimation
8	3D-Aware GANs	Viewpoint-Independent Video Editing	Viewpoint-Independent Video Editing using 3D-Aware GANs
11	3D-Aware Masked Diffusion	High-Fidelity and Controllable Face Swapping	High-Fidelity and Controllable Face Swapping via 3D-Aware Masked Diffusion
8	a Conditional Generator	Multi-Realism Image Compression	Multi-Realism Image Compression with a Conditional Generator
8	a Decoupled Diffusion Model	Unifying Layout Generation	Unifying Layout Generation with a Decoupled Diffusion Model
12	Discrete and Continuous Denoising	Vector Floorplan Generation via a Diffusion Model	Vector Floorplan Generation via a Diffusion Model with Discrete and Continuous Denoising
11	a Double-layer Neural Radiance Fields	Clothed Human Performance Capture	Clothed Human Performance Capture with a Double-layer Neural Radiance Fields
8	a Flashlight	In-the-wild Inverse Rendering	In-the-wild Inverse Rendering with a Flashlight
7	A Generator-Leading Task	Improving GANs	Improving GANs with A Generator-Leading Task
7	a Geometry-Adaptive Preconditioner	Meta-Learning	Meta-Learning with a Geometry-Adaptive Preconditioner
11	a Joint-Embedding Predictive Architecture	Self-Supervised Learning from Images	Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture
8	a Lightweight Neural Network	Boosting Feature Descriptors	Boosting Feature Descriptors with a Lightweight Neural Network
9	a Lip Reading Expert	Talking Face Generation Guided	Talking Face Generation Guided by a Lip Reading Expert
12	Physical Prior	Video Dehazing via a Multi-Range Temporal Alignment Network	Video Dehazing via a Multi-Range Temporal Alignment Network with Physical Prior
13	A Pre-learned Facial Codebook	High-fidelity and Generalizable Talking Face Generation	High-fidelity and Generalizable Talking Face Generation with A Pre-learned Facial Codebook
9	a Sense of Time	Instilling Video-Language Models	Instilling Video-Language Models with a Sense of Time
11	a Shared Feature Grid	Fast and Light Neural Radiance Fields	Fast and Light Neural Radiance Fields using a Shared Feature Grid
10	a Spike-RGB Hybrid Camera	1000 FPS HDR Video	1000 FPS HDR Video with a Spike-RGB Hybrid Camera
12	a Student Base for Video-Language Retrieval	Distilling CLIP-Based Models	Distilling CLIP-Based Models with a Student Base for Video-Language Retrieval
12	a Topological-consistent Dataset	Parametric Modeling of 3D Biped Cartoon Characters	Parametric Modeling of 3D Biped Cartoon Characters with a Topological-consistent Dataset
9	Abstracting Pixel-based Diffusion Models	Text-to-SVG	Text-to-SVG by Abstracting Pixel-based Diffusion Models
9	Abstraction	Boosting Verified Training for Robust Image Classifications	Boosting Verified Training for Robust Image Classifications via Abstraction
7	Acoustic Signals	3D Human Pose Estimation	3D Human Pose Estimation with Acoustic Signals
11	Adaptive Adversarial Distillation	Boosting Accuracy and Robustness of Student Models	Boosting Accuracy and Robustness of Student Models via Adaptive Adversarial Distillation
10	Adaptive Budgets	Avoiding Player Domination for Multi-target Robustness	Avoiding Player Domination for Multi-target Robustness by Adaptive Budgets
14	Adaptive Displacement Generation and Transformer Fusion for Micro-Expression Recognition	Feature Representation Learning	Feature Representation Learning with Adaptive Displacement Generation and Transformer Fusion for Micro-Expression Recognition
10	Adaptive Frequency Trigger	Backdoor Attacks Against Deep Image Compression	Backdoor Attacks Against Deep Image Compression via Adaptive Frequency Trigger
8	Adaptive Gaussian Mixtures	Sparsely Annotated Semantic Segmentation	Sparsely Annotated Semantic Segmentation with Adaptive Gaussian Mixtures
13	Adaptive Networks and Autoregressive Patch-wise Modeling	Neural Implicit Representations of Videos	Neural Implicit Representations of Videos with Adaptive Networks and Autoregressive Patch-wise Modeling
8	Adaptive Pooling	Iterative Matching and Pose Estimation	Iterative Matching and Pose Estimation with Adaptive Pooling
9	Adaptive Token Transformer	Online Monocular 3D Object Detection	Online Monocular 3D Object Detection with Adaptive Token Transformer
7	Adaptively Splitting Poisoned Dataset	Backdoor Defense	Backdoor Defense via Adaptively Splitting Poisoned Dataset
12	Additional Global Aggregation for Cross-domain Weakly Supervised Object Detection	DETR	DETR with Additional Global Aggregation for Cross-domain Weakly Supervised Object Detection
7	Additive Residuals	Debiasing Vision-Language Models	Debiasing Vision-Language Models with Additive Residuals
8	Ad-hoc Deblurring	Event-Based Frame Interpolation	Event-Based Frame Interpolation with Ad-hoc Deblurring
17	Adversarial Instrumental Variable Regression	Demystifying Causal Features on Adversarial Examples and Causal Inoculation for Robust Network	Demystifying Causal Features on Adversarial Examples and Causal Inoculation for Robust Network by Adversarial Instrumental Variable Regression
11	Adversarial Latent Search	Protecting Facial Privacy using Text-Guided Makeup	Protecting Facial Privacy using Text-Guided Makeup via Adversarial Latent Search
11	Adversarial Learning in Image Retrieval	Boundary-aware Backward-Compatible Representation	Boundary-aware Backward-Compatible Representation via Adversarial Learning in Image Retrieval
11	Adversarial Learning of Classifier and Reconstructor	Weakly Supervised Semantic Segmentation	Weakly Supervised Semantic Segmentation via Adversarial Learning of Classifier and Reconstructor
11	Adversarial Noise Generation for Domain Adaptive rPPG Estimation	Dual-bridging	Dual-bridging with Adversarial Noise Generation for Domain Adaptive rPPG Estimation
11	Adversarial Prototype Framework	Open-set Semantic Segmentation for Point Clouds	Open-set Semantic Segmentation for Point Clouds via Adversarial Prototype Framework
7	Adversarial Statistical Consistency	Evading DeepFake Detectors	Evading DeepFake Detectors via Adversarial Statistical Consistency
11	Agent-based Transformers	Jointly Learning Hierarchical Detectors and Contextual Descriptors	Jointly Learning Hierarchical Detectors and Contextual Descriptors via Agent-based Transformers
12	Aligning Distributions of Local Predictions	Knowledge Distillation for 6D Pose Estimation	Knowledge Distillation for 6D Pose Estimation by Aligning Distributions of Local Predictions
9	Aligning Inverse Gram Matrices	Unsupervised Domain Adaptation Regression	Unsupervised Domain Adaptation Regression by Aligning Inverse Gram Matrices
9	Alignment-Aware Training	High-Fidelity Neural Radiance Fields	High-Fidelity Neural Radiance Fields via Alignment-Aware Training
11	Alleviated Catastrophic Forgetting	A Gradient-Memory-based Accelerated Federated Learning	A Gradient-Memory-based Accelerated Federated Learning with Alleviated Catastrophic Forgetting
9	Altering Resolutions for Compressed Videos	Efficient Semantic Segmentation	Efficient Semantic Segmentation by Altering Resolutions for Compressed Videos
7	Ambiguity-aware Depth Estimates	Space Carving	Space Carving with Ambiguity-aware Depth Estimates
9	Anchor-Informed Proposals	Efficient Agent-Centric Motion Forecasting	Efficient Agent-Centric Motion Forecasting with Anchor-Informed Proposals
13	Answer Heuristics for Knowledge-based Visual Question Answering	Prompting Large Language Models	Prompting Large Language Models with Answer Heuristics for Knowledge-based Visual Question Answering
10	Application to Object Segmentation	Multiscale Encoder-Decoder Video Transformer	Multiscale Encoder-Decoder Video Transformer with Application to Object Segmentation
13	Arbitrary Topologies	Learning Unsigned Distance Fields for Multi-view Reconstruction of Surfaces	Learning Unsigned Distance Fields for Multi-view Reconstruction of Surfaces with Arbitrary Topologies
11	Arbitrary Topologies from Multi-view Images	Learning Neural Implicit Surfaces	Learning Neural Implicit Surfaces with Arbitrary Topologies from Multi-view Images
7	Architectural Reconfiguration	Data-Efficient GANs Training	Data-Efficient GANs Training via Architectural Reconfiguration
7	Articulated Objects	Benchmarking Generalizable Dexterous Manipulation	Benchmarking Generalizable Dexterous Manipulation with Articulated Objects
15	artificial neural networks	Probing neural representations of scene perception in a hippocampally dependent task	Probing neural representations of scene perception in a hippocampally dependent task using artificial neural networks
11	Asymmetric Feature Learning and Matching Flow Super-Resolution	Correspondence Transformers	Correspondence Transformers with Asymmetric Feature Learning and Matching Flow Super-Resolution
10	Attentive Filtering	Improving Graph Representation for Point Cloud Segmentation	Improving Graph Representation for Point Cloud Segmentation via Attentive Filtering
8	Attribute-Conditioned Adversarial Faces	Evading Forensic Classifiers	Evading Forensic Classifiers with Attribute-Conditioned Adversarial Faces
10	Attribution Span Enlargement and Hybrid Feature Fusion	Adversarial Training	Adversarial Training with Attribution Span Enlargement and Hybrid Feature Fusion
7	Attributions	Analyzing and Diagnosing Pose Estimation	Analyzing and Diagnosing Pose Estimation with Attributions
11	Audio-to-Visual Latent Alignment	Sound to Visual Scene Generation	Sound to Visual Scene Generation by Audio-to-Visual Latent Alignment
9	Audio-Visual Anomaly Detection	Self-Supervised Video Forensics	Self-Supervised Video Forensics by Audio-Visual Anomaly Detection
8	Automatic Memory Sample Selection	Continual Semantic Segmentation	Continual Semantic Segmentation with Automatic Memory Sample Selection
9	Auto-Transdecoder for Camera Localization	Neural Coordinate Mapping	Neural Coordinate Mapping by Auto-Transdecoder for Camera Localization
13	Auxiliary Networks in Continual Learning	Achieving a Better Stability-Plasticity Trade-off	Achieving a Better Stability-Plasticity Trade-off via Auxiliary Networks in Continual Learning
11	Auxiliary Prompts for Generalized Novel Category Discovery	Contrastive Affinity Learning	Contrastive Affinity Learning via Auxiliary Prompts for Generalized Novel Category Discovery
10	Backward Feature Projection	Preserving Linear Separability in Continual Learning	Preserving Linear Separability in Continual Learning by Backward Feature Projection
15	bi-contextual attention module and attention-guided modeling	Monocular 3D pose and shape reconstruction	Monocular 3D pose and shape reconstruction with bi-contextual attention module and attention-guided modeling
