len	idea	target	title
11	the Sparse Additive Mechanism Shift Variational Autoencoder.	Modelling Cellular Perturbations	Modelling Cellular Perturbations with the Sparse Additive Mechanism Shift Variational Autoencoder.
6	Cross-Episodic Curriculum	Transformer Agents.	Cross-Episodic Curriculum for Transformer Agents.
7	PaintSeg: Painting Pixels	Training-free Segmentation.	PaintSeg: Painting Pixels for Training-free Segmentation.
9	Decoupled Language Pre-training.	Bootstrapping Vision-Language Learning	Bootstrapping Vision-Language Learning with Decoupled Language Pre-training.
11	approximation guarantee.	Path following algorithms for 𝓁2-regularized M-estimation	Path following algorithms for 𝓁2-regularized M-estimation with approximation guarantee.
11	PDF: Point Diffusion Implicit Function	Large-scale Scene Neural Representation.	PDF: Point Diffusion Implicit Function for Large-scale Scene Neural Representation.
10	Function Approximation.	Natural Actor-Critic for Robust Reinforcement Learning	Natural Actor-Critic for Robust Reinforcement Learning with Function Approximation.
8	Experts.	Adaptive Selective Sampling for Online Prediction	Adaptive Selective Sampling for Online Prediction with Experts.
10			Gigastep - One Billion Steps per Second Multi-agent Reinforcement Learning.
10			Attentive Transfer Entropy to Exploit Transient Emergence of Coupling Effect.
12	Smartphones.	PopSign ASL v1.0: An Isolated American Sign Language Dataset Collected	PopSign ASL v1.0: An Isolated American Sign Language Dataset Collected via Smartphones.
13	(Provable) Adversarial Robustness	Group Equivariant Tasks: Graphs, Point Clouds, Molecules, and More.	(Provable) Adversarial Robustness for Group Equivariant Tasks: Graphs, Point Clouds, Molecules, and More.
9	Backpropagating Through Optical Flow.	Self-Supervised Motion Magnification	Self-Supervised Motion Magnification by Backpropagating Through Optical Flow.
10	Texture Feature Distribution Calibration.	TexQ: Zero-shot Network Quantization	TexQ: Zero-shot Network Quantization with Texture Feature Distribution Calibration.
8			Ambient Diffusion: Learning Clean Distributions from Corrupted Data.
7	Quantile Regression.	Scalable Membership Inference Attacks	Scalable Membership Inference Attacks via Quantile Regression.
12	Von Neumann Entropy.	ESSEN: Improving Evolution State Estimation for Temporal Networks	ESSEN: Improving Evolution State Estimation for Temporal Networks using Von Neumann Entropy.
13	an Instance-Dependent Noise Transition Model.	Label Correction of Crowdsourced Noisy Annotations	Label Correction of Crowdsourced Noisy Annotations with an Instance-Dependent Noise Transition Model.
5			Diffused Task-Agnostic Milestone Planner.
8			Task-aware Distributed Source Coding under Dynamic Bandwidth.
10	BubbleML: A Multiphase Multiphysics Dataset and Benchmarks	Machine Learning.	BubbleML: A Multiphase Multiphysics Dataset and Benchmarks for Machine Learning.
13	ANTN: Bridging Autoregressive Neural Networks and Tensor Networks	Quantum Many-Body Simulation.	ANTN: Bridging Autoregressive Neural Networks and Tensor Networks for Quantum Many-Body Simulation.
7			Causal Effect Identification in Uncertain Causal Networks.
12	FAST: a Fused and Accurate Shrinkage Tree	Heterogeneous Treatment Effects Estimation.	FAST: a Fused and Accurate Shrinkage Tree for Heterogeneous Treatment Effects Estimation.
11	Characterizing Graph Datasets	Node Classification: Homophily-Heterophily Dichotomy and Beyond.	Characterizing Graph Datasets for Node Classification: Homophily-Heterophily Dichotomy and Beyond.
11	Hybrid Probability Transport for 3D Molecule Generation.	Equivariant Flow Matching	Equivariant Flow Matching with Hybrid Probability Transport for 3D Molecule Generation.
6	Latent Gaussian Distributions.	Hyperbolic VAE	Hyperbolic VAE via Latent Gaussian Distributions.
14	Possibly Incomplete Trajectories.	A Simple Solution for Offline Imitation from Observations and Examples	A Simple Solution for Offline Imitation from Observations and Examples with Possibly Incomplete Trajectories.
11	Distributionally Robust Defensive Training.	Defending against Data-Free Model Extraction	Defending against Data-Free Model Extraction by Distributionally Robust Defensive Training.
17			Large language models transition from integrating across position-yoked, exponential windows to structure-yoked, power-law windows.
14	Where are we in the search	an Artificial Visual Cortex for Embodied Intelligence?	Where are we in the search for an Artificial Visual Cortex for Embodied Intelligence?
10	Delayed Feedback.	Belief Projection-Based Reinforcement Learning for Environments	Belief Projection-Based Reinforcement Learning for Environments with Delayed Feedback.
5			Batchnorm Allows Unsupervised Radial Attacks.
16	Spatial Prompt Learning on Foundation Models.	Detecting Any Human-Object Interaction Relationship: Universal HOI Detector	Detecting Any Human-Object Interaction Relationship: Universal HOI Detector with Spatial Prompt Learning on Foundation Models.
16	Smoothing the Landscape Boosts the Signal	SGD: Optimal Sample Complexity for Learning Single Index Models.	Smoothing the Landscape Boosts the Signal for SGD: Optimal Sample Complexity for Learning Single Index Models.
14			A Scale-Invariant Sorting Criterion to Find a Causal Order in Additive Noise Models.
6	Tensor Sampling.	PROTES: Probabilistic Optimization	PROTES: Probabilistic Optimization with Tensor Sampling.
8			Perturbation Towards Easy Samples Improves Targeted Adversarial Transferability.
11			AllSim: Simulating and Benchmarking Resource Allocation Policies in Multi-User Systems.
10	Large Language Model Agent.	AVIS: Autonomous Visual Information Seeking	AVIS: Autonomous Visual Information Seeking with Large Language Model Agent.
6	Conformal Prediction Sets	Ordinal Classification.	Conformal Prediction Sets for Ordinal Classification.
4			Minimax-Optimal Location Estimation.
7	Tight Bounds	Volumetric Spanners and Applications.	Tight Bounds for Volumetric Spanners and Applications.
9	Wyze Rule: Federated Rule Dataset	Rule Recommendation Benchmarking.	Wyze Rule: Federated Rule Dataset for Rule Recommendation Benchmarking.
8	Dale's Law: A Spectral Perspective.	Learning better	Learning better with Dale's Law: A Spectral Perspective.
11			Dense-Exponential Random Features: Sharp Positive Estimators of the Gaussian Kernel.
9	Efficient Newton Iterations.	Projection-Free Online Convex Optimization	Projection-Free Online Convex Optimization via Efficient Newton Iterations.
15	the Help of Instruction Manuals.	Read and Reap the Rewards: Learning to Play Atari	Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals.
12			Sharpness Minimization Algorithms Do Not Only Minimize Sharpness To Achieve Better Generalization.
10			Feature-Learning Networks Are Consistent Across Widths At Realistic Scales.
3			Taylor TD-learning.
9	Differentiable Coverage Probability.	Calibrating Neural Simulation-Based Inference	Calibrating Neural Simulation-Based Inference with Differentiable Coverage Probability.
5			Agnostic Multi-Group Active Learning.
11	Self-Weighted Contrastive Learning among Multiple Views	Mitigating Representation Degeneration.	Self-Weighted Contrastive Learning among Multiple Views for Mitigating Representation Degeneration.
12	Purifying Poisoned Features.	Neural Polarizer: A Lightweight and Effective Backdoor Defense	Neural Polarizer: A Lightweight and Effective Backdoor Defense via Purifying Poisoned Features.
7	Tools	Verifying Neural Models' Training Data.	Tools for Verifying Neural Models' Training Data.
7	Adversarial Weight Pruning.	Towards Higher Ranks	Towards Higher Ranks via Adversarial Weight Pruning.
16			On the Overlooked Pitfalls of Weight Decay and How to Mitigate Them: A Gradient-Norm Perspective.
14	Leveraging Early-Stage Robustness in Diffusion Models	Efficient and High-Quality Image Synthesis.	Leveraging Early-Stage Robustness in Diffusion Models for Efficient and High-Quality Image Synthesis.
6	Adversarial Model	Offline Reinforcement Learning.	Adversarial Model for Offline Reinforcement Learning.
13	Random Weight Network as Optimization Function.	Training Your Image Restoration Network Better	Training Your Image Restoration Network Better with Random Weight Network as Optimization Function.
11			Passive learning of active causal strategies in agents and language models.
7			Zero-Regret Performative Prediction Under Inequality Constraints.
8	General-Purpose Models.	Towards Free Data Selection	Towards Free Data Selection with General-Purpose Models.
12	Global and Local Lower Level Problems.	Communication-Efficient Federated Bilevel Optimization	Communication-Efficient Federated Bilevel Optimization with Global and Local Lower Level Problems.
8	Probabilistic Graphical Disambiguation.	Partial Multi-Label Learning	Partial Multi-Label Learning with Probabilistic Graphical Disambiguation.
10	DreamerV3 Tricks.	Reward Scale Robustness for Proximal Policy Optimization	Reward Scale Robustness for Proximal Policy Optimization via DreamerV3 Tricks.
5			Emergent Correspondence from Image Diffusion.
9	Progressive Data Expansion Against Spurious Correlation.	Robust Learning	Robust Learning with Progressive Data Expansion Against Spurious Correlation.
8			Multiclass Boosting: Simple and Intuitive Weak Learning Criteria.
10			Approximate Heavy Tails in Offline (Multi-Pass) Stochastic Gradient Descent.
8			Uncovering Neural Scaling Laws in Molecular Representation Learning.
14	Pixel-Aligned Scene Flow.	FlowCam: Training Generalizable 3D Radiance Fields without Camera Poses	FlowCam: Training Generalizable 3D Radiance Fields without Camera Poses via Pixel-Aligned Scene Flow.
9	Minimum Description Length and Generalization Guarantees	Representation Learning.	Minimum Description Length and Generalization Guarantees for Representation Learning.
11			From Discrete Tokens to High-Fidelity Audio Using Multi-Band Diffusion.
11			Fixing the NTK: From Neural Network Linearizations to Exact Convex Programs.
7			Birth of a Transformer: A Memory Viewpoint.
7			A Variational Perspective on High-Resolution ODEs.
12			What You See is What You Read? Improving Text-Image Alignment Evaluation.
10			On the Robustness of Mechanism Design under Total Variation Distance.
17	M4: A Unified XAI Benchmark	Faithfulness Evaluation of Feature Attribution Methods across Metrics, Modalities and Models.	M4: A Unified XAI Benchmark for Faithfulness Evaluation of Feature Attribution Methods across Metrics, Modalities and Models.
14	theta driven local learning rules.	A generative model of the hippocampal formation trained	A generative model of the hippocampal formation trained with theta driven local learning rules.
10	Risk-Averse Model Uncertainty	Distributionally Robust Safe Reinforcement Learning.	Risk-Averse Model Uncertainty for Distributionally Robust Safe Reinforcement Learning.
7	complex-valued neural networks.	Optimal approximation	Optimal approximation using complex-valued neural networks.
8	BayesDAG: Gradient-Based Posterior Inference	Causal Discovery.	BayesDAG: Gradient-Based Posterior Inference for Causal Discovery.
11	Bounce: Reliable High-Dimensional Bayesian Optimization	Combinatorial and Mixed Spaces.	Bounce: Reliable High-Dimensional Bayesian Optimization for Combinatorial and Mixed Spaces.
11	Uniform-in-Time Wasserstein Stability Bounds	(Noisy) Stochastic Gradient Descent.	Uniform-in-Time Wasserstein Stability Bounds for (Noisy) Stochastic Gradient Descent.
10	Towards Generic Semi-Supervised Framework	Volumetric Medical Image Segmentation.	Towards Generic Semi-Supervised Framework for Volumetric Medical Image Segmentation.
11			Stochastic Distributed Optimization under Average Second-order Similarity: Algorithms and Analysis.
9	Guided Set Diffusion Models.	PolyDiffuse: Polygonal Shape Reconstruction	PolyDiffuse: Polygonal Shape Reconstruction via Guided Set Diffusion Models.
14	Synthetic Test Data.	Can You Rely on Your Model Evaluation? Improving Model Evaluation	Can You Rely on Your Model Evaluation? Improving Model Evaluation with Synthetic Test Data.
7	Rethinking the Backward Propagation	Adversarial Transferability.	Rethinking the Backward Propagation for Adversarial Transferability.
11			Bullying10K: A Large-Scale Neuromorphic Dataset towards Privacy-Preserving Bullying Recognition.
6	Bayesian Implicit Neural Representations.	Compression	Compression with Bayesian Implicit Neural Representations.
4			Towards Unbounded Machine Unlearning.
5	Prediction Consensus.	Collaborative Learning	Collaborative Learning via Prediction Consensus.
6			Identification of Nonlinear Latent Hierarchical Models.
16	Augmented Samples and Its Applications to Queueing Networks.	Sample Efficient Reinforcement Learning in Mixed Systems	Sample Efficient Reinforcement Learning in Mixed Systems through Augmented Samples and Its Applications to Queueing Networks.
9	Temporal Graph Benchmark	Machine Learning on Temporal Graphs.	Temporal Graph Benchmark for Machine Learning on Temporal Graphs.
13	Navigating Data Heterogeneity in Federated Learning: A Semi-Supervised Approach	Object Detection.	Navigating Data Heterogeneity in Federated Learning: A Semi-Supervised Approach for Object Detection.
7			On the Generalization Properties of Diffusion Models.
11	Regularized Behavior Cloning	Blocking the Leakage of Past Action Information.	Regularized Behavior Cloning for Blocking the Leakage of Past Action Information.
7			The Distortion of Binomial Voting Defies Expectation.
13	Vision-Language Models.	UP-DP: Unsupervised Prompt Learning for Data Pre-Selection	UP-DP: Unsupervised Prompt Learning for Data Pre-Selection with Vision-Language Models.
7	Optimistic Rates	Multi-Task Representation Learning.	Optimistic Rates for Multi-Task Representation Learning.
13	Patch n' Pack: NaViT, a Vision Transformer	any Aspect Ratio and Resolution.	Patch n' Pack: NaViT, a Vision Transformer for any Aspect Ratio and Resolution.
11	The Benefits of Being Distributional: Small-Loss Bounds	Reinforcement Learning.	The Benefits of Being Distributional: Small-Loss Bounds for Reinforcement Learning.
10			Honesty Is the Best Policy: Defining and Mitigating AI Deception.
13	Leveraging Spatio-Temporal Context.	Improving *day-ahead* Solar Irradiance Time Series Forecasting	Improving *day-ahead* Solar Irradiance Time Series Forecasting by Leveraging Spatio-Temporal Context.
8			Uncovering and Quantifying Social Biases in Code Generation.
8	A Bounded Ability Estimation	Computerized Adaptive Testing.	A Bounded Ability Estimation for Computerized Adaptive Testing.
6			ForecastPFN: Synthetically-Trained Zero-Shot Forecasting.
14	Probability Generating Functions: A Probabilistic Programming Approach.	Exact Bayesian Inference on Discrete Models	Exact Bayesian Inference on Discrete Models via Probability Generating Functions: A Probabilistic Programming Approach.
8			SE(3) Equivariant Convolution and Transformer in Ray Space.
13	Minimal Human Supervision.	Principle-Driven Self-Alignment of Language Models from Scratch	Principle-Driven Self-Alignment of Language Models from Scratch with Minimal Human Supervision.
9	Prototypical Variational Autoencoder	3D Few-shot Object Detection.	Prototypical Variational Autoencoder for 3D Few-shot Object Detection.
4			Double Gumbel Q-Learning.
7			Mutual-Information Regularized Multi-Agent Policy Iteration.
13	An Efficient End-to-End Training Approach	Zero-Shot Human-AI Coordination.	An Efficient End-to-End Training Approach for Zero-Shot Human-AI Coordination.
13	Learning in Zero-Sum Extensive-Form Games.	Computing Optimal Equilibria and Mechanisms	Computing Optimal Equilibria and Mechanisms via Learning in Zero-Sum Extensive-Form Games.
9			Parts of Speech-Grounded Subspaces in Vision-Language Models.
10	Multidimensional Backtracking.	Searching for Optimal Per-Coordinate Step-sizes	Searching for Optimal Per-Coordinate Step-sizes with Multidimensional Backtracking.
9	Wasserstein Gradient Descent.	Estimating the Rate-Distortion Function	Estimating the Rate-Distortion Function by Wasserstein Gradient Descent.
3			Epistemic Neural Networks.
12	HotBEV: Hardware-oriented Transformer-based Multi-View 3D Detector	BEV Perception.	HotBEV: Hardware-oriented Transformer-based Multi-View 3D Detector for BEV Perception.
10	Mip-Grid: Anti-aliased Grid Representations	Neural Radiance Fields.	Mip-Grid: Anti-aliased Grid Representations for Neural Radiance Fields.
9	Theoretically Guaranteed Bidirectional Data Rectification	Robust Sequential Recommendation.	Theoretically Guaranteed Bidirectional Data Rectification for Robust Sequential Recommendation.
12	Diverse Time Preferences Requires Non-Markovian Rewards.	Consistent Aggregation of Objectives	Consistent Aggregation of Objectives with Diverse Time Preferences Requires Non-Markovian Rewards.
10	Diffusion-Based Adversarial Sample Generation	Improved Stealthiness and Controllability.	Diffusion-Based Adversarial Sample Generation for Improved Stealthiness and Controllability.
8	Instance-dependent Thresholds.	InstanT: Semi-supervised Learning	InstanT: Semi-supervised Learning with Instance-dependent Thresholds.
7	Neural Lyapunov Control	Discrete-Time Systems.	Neural Lyapunov Control for Discrete-Time Systems.
12	Applications to Explainable AI.	Information Maximization Perspective of Orthogonal Matching Pursuit	Information Maximization Perspective of Orthogonal Matching Pursuit with Applications to Explainable AI.
7	Evolving Connectivity	Recurrent Spiking Neural Networks.	Evolving Connectivity for Recurrent Spiking Neural Networks.
7	Cost-varying Variable Subsets.	Bayesian Optimization	Bayesian Optimization with Cost-varying Variable Subsets.
12	Transformed Low-Rank Parameterization Can Help Robust Generalization	Tensor Neural Networks.	Transformed Low-Rank Parameterization Can Help Robust Generalization for Tensor Neural Networks.
13			Testing the General Deductive Reasoning Capacity of Large Language Models Using OOD Examples.
8	MosaicBERT: A Bidirectional Encoder Optimized	Fast Pretraining.	MosaicBERT: A Bidirectional Encoder Optimized for Fast Pretraining.
11	Efficient Graph Search.	GraphMP: Graph Neural Network-based Motion Planning	GraphMP: Graph Neural Network-based Motion Planning with Efficient Graph Search.
12	a Corpus of Examples.	Accountability in Offline Reinforcement Learning: Explaining Decisions	Accountability in Offline Reinforcement Learning: Explaining Decisions with a Corpus of Examples.
12	Synthcity: a benchmark framework	diverse use cases of tabular synthetic data.	Synthcity: a benchmark framework for diverse use cases of tabular synthetic data.
8	SOAR: Improved Indexing	Approximate Nearest Neighbor Search.	SOAR: Improved Indexing for Approximate Nearest Neighbor Search.
10	Prompt-based Tracking.	Type-to-Track: Retrieve Any Object	Type-to-Track: Retrieve Any Object via Prompt-based Tracking.
9			Finding Counterfactually Optimal Action Sequences in Continuous State Spaces.
10	Multi-linear Operators for Efficient Training.	Reusing Pretrained Models	Reusing Pretrained Models by Multi-linear Operators for Efficient Training.
11	Tartarus: A Benchmarking Platform	Realistic And Practical Inverse Molecular Design.	Tartarus: A Benchmarking Platform for Realistic And Practical Inverse Molecular Design.
12	2D Diffusion Model Given Sparse Views.	DreamSparse: Escaping from Plato's Cave	DreamSparse: Escaping from Plato's Cave with 2D Diffusion Model Given Sparse Views.
11	Sample Complexity Bounds	Score-Matching: Causal Discovery and Generative Modeling.	Sample Complexity Bounds for Score-Matching: Causal Discovery and Generative Modeling.
9			Adversarial Robustness in Graph Neural Networks: A Hamiltonian Approach.
8			A Path to Simpler Models Starts With Noise.
13	Winner-Take-All Column Row Sampling	Memory Efficient Adaptation of Language Model.	Winner-Take-All Column Row Sampling for Memory Efficient Adaptation of Language Model.
10	Zeroth-Order Methods	Nondifferentiable, Nonconvex, and Hierarchical Federated Optimization.	Zeroth-Order Methods for Nondifferentiable, Nonconvex, and Hierarchical Federated Optimization.
6	Elastic Reset.	Language Model Alignment	Language Model Alignment with Elastic Reset.
14			Resolving the Tug-of-War: A Separation of Communication and Learning in Federated Learning.
7			GlucoSynth: Generating Differentially-Private Synthetic Glucose Traces.
8			OBJECT 3DIT: Language-guided 3D-aware Image Editing.
9	Learning Rule-Induced Subgraph Representations	Inductive Relation Prediction.	Learning Rule-Induced Subgraph Representations for Inductive Relation Prediction.
12	Attention Map Alignment.	Linguistic Binding in Diffusion Models: Enhancing Attribute Correspondence	Linguistic Binding in Diffusion Models: Enhancing Attribute Correspondence through Attention Map Alignment.
13	Optimistic Natural Policy Gradient: a Simple Efficient Policy Optimization Framework	Online RL.	Optimistic Natural Policy Gradient: a Simple Efficient Policy Optimization Framework for Online RL.
8	Multiple Experts.	Two-Stage Learning to Defer	Two-Stage Learning to Defer with Multiple Experts.
7			A Computationally Efficient Sparsified Online Newton Method.
